price/kg,price,product name,nutri-score,Valeur énergétique en kJ,Valeur énergétique en kCal,Matières grasses,Dont acides gras saturés,Glucides,Dont sucres,Protéines,Sel,category,subcategory,sub_sub_category,Fibres alimentaires,Sodium
"5,08€/kg","3,05",Nature bio poelée de légumes bio 600g,,144.00 kJ,35.00 kcal,1.20 g,0.10 g,3.30 g,1.50 g,1.40 g,0.62 g,Surgelés,Légumes et fruits,Légumes,2.50 g,
"6,20€/kg","2,79",Alnatura poêlée de légumes bio Provence 450g,,171.00 kJ,41.00 kcal,1.50 g,0.20 g,4.20 g,3.10 g,1.50 g,0.87 g,Surgelés,Légumes et fruits,Légumes,2.30 g,
"2,99€/kg","2,24",Bonduelle l'épinard feuilles préservées 750g,A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"3,52€/kg","3,52",Paysan breton la poêlée aux 5 légumes 1kg,A,112.00 kJ,27.00 kcal,< 0.50 g,< 0.10 g,3.80 g,2.20 g,1.30 g,0.10 g,Surgelés,Légumes et fruits,Légumes,,
"12,20€/kg","3,72",Bonduelle croustis de légumes choux-fleurs 305g,A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"6,18€/kg","2,78",Alnatura poêlée légumes bio toskana 450g,,200.00 kJ,48.00 kcal,2.80 g,0.40 g,3.40 g,2.90 g,1.40 g,0.83 g,Surgelés,Légumes et fruits,Légumes,1.80 g,
"12,23€/kg","3,73",Bonduelle croustis de légumes butternut potiron 305g,A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"5,04€/kg","3,78",Bonduelle petits pois extra fondant précuit vapeur 750g,A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"7,62€/kg","3,81","Bonduelle légumes et céréales cuisinés courgettes, boulgour 500g",A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"3,65€/kg","3,65",Paysan breton la poêlée pour poisson 1kg,A,131.00 kJ,31.00 kcal,0.30 g,0.02 g,4.90 g,2.90 g,1.30 g,0.18 g,Surgelés,Légumes et fruits,Légumes,2.10 g,
"4,71€/kg","3,53",Paysan breton la poêlée coté sud 750g,A,181.00 kJ,43.00 kcal,2.10 g,0.27 g,3.90 g,3.40 g,1.00 g,0.50 g,Surgelés,Légumes et fruits,Légumes,,
"9,84€/kg","3,74",Bonduelle palets de courgettes 380g,B,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"6,93€/kg","3,12",Alnatura poêlée de légumes bio asia 450g,,158.00 kJ,38.00 kcal,0.90 g,< 0.10 g,4.70 g,3.10 g,1.60 g,0.63 g,Surgelés,Légumes et fruits,Légumes,2.20 g,
"5,99€/kg","4,49",Paysan breton la poêlée sarladaise 750g,C,894.00 kJ,215.00 kcal,13.00 g,3.40 g,21.00 g,0.80 g,2.40 g,0.67 g,Surgelés,Légumes et fruits,Légumes,,
"12,20€/kg","3,72",Bonduelle croustis de légumes brocolis 305g,B,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"16,21€/kg","3,89",Bonduelle mini croustis italian aubergine courgette mozzarella 240g,B,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"3,03€/kg","2,27",D'aucy choux fleurs juste à réchauffer 750g,A,90.00 kJ,21.00 kcal,0.20 g,0.04 g,2.30 g,1.40 g,1.60 g,0.03 g,Surgelés,Légumes et fruits,Légumes,2.00 g,
"9,97€/kg","3,79",Bonduelle palets butternut et panais 380g,A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"3,03€/kg","2,27",D'aucy mélange choux fleurs brocolis juste à réchauffer 750g,A,110.00 kJ,26.00 kcal,0.30 g,0.04 g,3.10 g,2.20 g,1.70 g,0.04 g,Surgelés,Légumes et fruits,Légumes,2.50 g,
"11,97€/kg","3,59",Alnatura bâtonnets de légumes bio 300g,,759.00 kJ,181.00 kcal,8.40 g,1.60 g,21.00 g,3.20 g,4.40 g,0.89 g,Surgelés,Légumes et fruits,Légumes,2.10 g,
"16,38€/kg","3,93",Bonduelle mini croustis frenchy épinard courgette chèvre 240g,A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"9,76€/kg","3,71",Bonduelle palets légumes du soleil 380g,A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"14,68€/kg","3,23",Alnatura mini falafels bio 220g,,951.00 kJ,228.00 kcal,11.00 g,1.30 g,19.00 g,2.30 g,9.50 g,1.10 g,Surgelés,Légumes et fruits,Légumes,7.40 g,
"15,00€/kg","3,60",Bonduelle maxi croustis cheesy potiron lentilles emmental 240g,A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"9,22€/kg","4,61",Magda fonds d'artichauts 500 g,,120.60 kJ,28.80 kcal,0.20 g,0.04 g,1.00 g,0.99 g,3.10 g,0.13 g,Surgelés,Légumes et fruits,Légumes,,
"3,91€/kg","1,76",Alnatura épinards en branche bio 450g,,105.00 kJ,25.00 kcal,< 0.50 g,< 0.10 g,1.00 g,0.60 g,2.70 g,0.17 g,Surgelés,Légumes et fruits,Légumes,2.60 g,
"3,40€/kg","2,55",D'Aucy fleurettes de brocolis juste à rechauffer 750g,A,109.00 kJ,26.00 kcal,0.30 g,0.07 g,2.10 g,1.20 g,2.50 g,0.04 g,Surgelés,Légumes et fruits,Légumes,2.50 g,
"3,09€/kg","2,32",Daucy haricot vert extra fin cuit juste à réchauffer 750g,A,161.00 kJ,39.00 kcal,0.40 g,0.07 g,4.20 g,1.30 g,2.40 g,0.02 g,Surgelés,Légumes et fruits,Légumes,4.60 g,
"3,03€/kg","2,27",D'aucy mélange brocolis haricots plats carottes jaunes juste à réchauffer 750g,A,147.00 kJ,35.00 kcal,0.20 g,0 g,4.20 g,1.60 g,2.10 g,0.02 g,Surgelés,Légumes et fruits,Légumes,4.00 g,
"5,63€/kg","1,69",Alnatura légumes au beurre bio 300g,,452.00 kJ,109.00 kcal,6.90 g,4.50 g,7.30 g,3.10 g,2.70 g,0.80 g,Surgelés,Légumes et fruits,Légumes,3.30 g,
"16,21€/kg","3,89",Bonduelle mini croustis mexican poivron haricot rouge 240g,A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"3,16€/kg","2,37",Paysan breton les haricots verts extra-fins cuits 750g,A,151.00 kJ,36.00 kcal,< 0.50 g,< 0.10 g,5.10 g,1.20 g,1.80 g,< 0.01 g,Surgelés,Légumes et fruits,Légumes,3.30 g,
"7,76€/kg","3,49",Alnatura brocolis surgelés bio 450g,,93.00 kJ,22.00 kcal,< 0.50 g,< 0.10 g,1.70 g,1.40 g,2.60 g,0.05 g,Surgelés,Légumes et fruits,Légumes,2.50 g,
"14,88€/kg","3,57",Bonduelle maxi croustis Texas maïs poivron haricot rouge 240g,A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"1,59€/kg","1,59",Top Budget choux-fleurs surgelés 1kg,A,84.26 kJ,20.10 kcal,0.50 g,0.10 g,2.33 g,1.94 g,1.53 g,0.02 g,Surgelés,Légumes et fruits,Légumes,,
"5,00€/kg","1,50",Alnatura légumes d'été bio 300g,,143.00 kJ,34.00 kcal,< 0.50 g,< 0.10 g,4.70 g,3.50 g,2.10 g,0.04 g,Surgelés,Légumes et fruits,Légumes,3.40 g,
"19,75€/kg","3,95",Gombo entier 200g,,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
