region_name,category,subcategory,subsubcategory,mean price [€],min price [€],max price [€],A,B,C,D,E,nutri-score null percentage
Auvergne-Rhône-Alpes,Fruits et légumes,Fruits et légumes secs,Fruits secs et graines,4.35,0.46,8.1,25.0,0.0,0.0,50.0,25.0,98.0
Auvergne-Rhône-Alpes,Fruits et légumes,Fruits et légumes secs,Légumes secs,2.73,1.2,5.05,100.0,0.0,0.0,0.0,0.0,48.0
Auvergne-Rhône-Alpes,Fruits et légumes,Légumes frais,Légumes de saison,2.37,0.11,7.99,100.0,0.0,0.0,0.0,0.0,97.0
Auvergne-Rhône-Alpes,Fruits et légumes,Légumes frais,"Oignons, ails, échalotes, herbes aromatiques",2.41,0.18,7.99,100.0,0.0,0.0,0.0,0.0,90.0
Auvergne-Rhône-Alpes,Fruits et légumes,Prêt à consommer et fraîche découpe,Légumes prêts à l'emploi et purées,2.6,1.01,5.39,100.0,0.0,0.0,0.0,0.0,87.0
Auvergne-Rhône-Alpes,Fruits et légumes,Prêt à consommer et fraîche découpe,Salades et crudités prêtes à consommer,2.55,1.02,6.7,73.6,0.0,22.400000000000002,4.0,0.0,16.0
Auvergne-Rhône-Alpes,Fruits et légumes,Prêt à consommer et fraîche découpe,Soupes et purées fraîches,3.46,2.72,5.27,43.6,35.9,20.5,0.0,0.0,5.0
Auvergne-Rhône-Alpes,"Pains, viennoiseries et pâtisseries",Pains,Pains de mie et précuits,2.05,0.9,3.85,63.7,32.2,2.7,1.4000000000000001,0.0,3.0
Auvergne-Rhône-Alpes,"Pains, viennoiseries et pâtisseries",Pains,"Pains sandwich, burger et wraps",2.42,1.15,7.23,34.9,45.300000000000004,13.200000000000001,6.6000000000000005,0.0,6.0
Auvergne-Rhône-Alpes,"Pains, viennoiseries et pâtisseries",Pains,Toast et canapé,2.15,1.11,3.34,20.0,66.7,6.7,6.7,0.0,38.0
Auvergne-Rhône-Alpes,"Pains, viennoiseries et pâtisseries",Pâtisseries,Aide à la pâtisserie,4.72,2.22,8.99,0.0,0.0,0.0,0.0,100.0,78.0
Auvergne-Rhône-Alpes,"Pains, viennoiseries et pâtisseries",Pâtisseries,Crêpes et pancakes,3.33,2.75,4.4,0.0,100.0,0.0,0.0,0.0,78.0
Auvergne-Rhône-Alpes,"Pains, viennoiseries et pâtisseries",Pâtisseries,Gâteaux,5.05,1.05,9.99,0.0,0.0,0.0,100.0,0.0,99.0
Auvergne-Rhône-Alpes,"Pains, viennoiseries et pâtisseries",Viennoiseries et brioches,"Beignets, donuts et muffins",4.69,2.74,6.3,0.0,0.0,66.7,33.300000000000004,0.0,83.0
Auvergne-Rhône-Alpes,"Pains, viennoiseries et pâtisseries",Viennoiseries et brioches,Brioches et pains au lait,3.03,1.41,7.39,0.0,13.200000000000001,44.1,42.6,0.0,14.000000000000002
Auvergne-Rhône-Alpes,"Pains, viennoiseries et pâtisseries",Viennoiseries et brioches,Viennoiseries,3.3,1.5,8.5,0.0,4.7,39.300000000000004,43.9,12.1,41.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts",Fromages,"Camemberts, coulommiers, bries, crémeux",3.37,1.45,8.77,0.0,0.0,5.2,94.8,0.0,69.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts",Fromages,Chèvres et brebis,3.96,1.25,8.99,0.0,0.0,17.599999999999998,82.39999999999999,0.0,69.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts",Fromages,"Emmental, comté et cantal",4.36,1.99,8.79,0.0,0.0,4.3,80.4,15.2,83.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts",Fromages,Fromages du terroir et de caractère,4.29,1.6,8.99,0.0,0.0,0.0,62.5,37.5,86.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts",Fromages,Fromages enfants,3.27,1.78,6.98,0.0,0.0,0.0,100.0,0.0,94.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts",Fromages,Fromages végétaux,2.93,2.09,3.22,0.0,0.0,0.0,16.7,83.3,14.000000000000002
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts",Fromages,Fromages à tartiner,2.88,1.29,6.11,0.0,0.0,0.0,100.0,0.0,93.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts",Fromages,"Mozzarella, feta, ricotta, mascarpone",2.9,0.95,6.03,0.0,0.0,47.4,47.4,5.3,56.99999999999999
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts",Fromages,Roqueforts et bleus,3.42,1.58,6.83,0.0,0.0,0.0,40.0,60.0,94.0
