magasin_id,product_id,category,subcategory,sub_sub_category,product name,price/um,price,nutri-score,Valeur énergétique en kJ,Valeur énergétique en kCal,Matières grasses,Dont acides gras saturés,Dont acides gras mono-insaturés,Glucides,Dont sucres,Protéines,Fibres alimentaires,Sel,Sodium
1,1140391,Fruits et légumes,Fruits frais,Fruits de saison,Poire rochas barquette 4 fruits stickés,,2.29,,,,,,,,,,,,
1,960490,Fruits et légumes,Fruits frais,Fruits de saison,Pomme bio golden barquette 4 fruits,,2.99,,,,,,,,,,,,
1,1128643,Fruits et légumes,Fruits frais,Fruits de saison,Kiwi barquette 1 kg,,2.99,,,,,,,,,,,,
1,1113079,Fruits et légumes,Fruits frais,Fruits de saison,Citron 1kg +20%,,1.79,,,,,,,,,,,,
1,1139038,Fruits et légumes,Fruits frais,Fruits de saison,Citron jaune filet 500g,,1.49,,,,,,,,,,,,
1,937480,Fruits et légumes,Fruits frais,Fruits de saison,Citron jaune bio 4 fruits,,2.49,,,,,,,,,,,,
1,15873,Fruits et légumes,Fruits frais,Oranges et agrumes,Citron jaune cora 4 fruits,,1.49,,,,,,,,,,,,
1,2603271,Fruits et légumes,Fruits frais,Oranges et agrumes,Citron jaune,,0.7,,,,,,,,,,,,
1,18003,Fruits et légumes,Fruits frais,Oranges et agrumes,Orange à déguster cora 2kg,,3.99,,,,,,,,,,,,
1,15866,Fruits et légumes,Fruits frais,Oranges et agrumes,Cora orange à jus 2kg,,1.99,,,,,,,,,,,,
1,25982,Fruits et légumes,Fruits frais,Oranges et agrumes,Pomelos,,0.99,,,,,,,,,,,,
1,2861457,Fruits et légumes,Fruits frais,Oranges et agrumes,CLEMENTINE CORA PITUFO 2.3KG,,4.99,,,,,,,,,,,,
1,15890,Fruits et légumes,Fruits frais,Oranges et agrumes,Cora Kido petits agrumes 1kg,,3.49,,,,,,,,,,,,
1,90020,Fruits et légumes,Fruits frais,Oranges et agrumes,Clémentine corse feuille vrac,,1.8,,,,,,,,,,,,
1,1127341,Fruits et légumes,Fruits frais,Oranges et agrumes,Clementine fine de Corse,,4.99,,,,,,,,,,,,
1,15884,Fruits et légumes,Fruits frais,Oranges et agrumes,Cora orange sachet 1kg,,3.49,,,,,,,,,,,,
1,944929,Fruits et légumes,Fruits frais,Oranges et agrumes,Orange à déguster,,1.5,,,,,,,,,,,,
1,2822511,Fruits et légumes,Fruits frais,Oranges et agrumes,Clémentine maroc,,0.45,,,,,,,,,,,,
1,548401,Fruits et légumes,Fruits frais,Oranges et agrumes,Mandarine Clémenvilla,,1.17,,,,,,,,,,,,
1,2776470,Fruits et légumes,Fruits frais,Oranges et agrumes,CLEMENTINE NULES BIO FILET 1KG,,3.99,,,,,,,,,,,,
1,1113079,Fruits et légumes,Fruits frais,Oranges et agrumes,Citron 1kg +20%,,1.79,,,,,,,,,,,,
1,1139038,Fruits et légumes,Fruits frais,Oranges et agrumes,Citron jaune filet 500g,,1.49,,,,,,,,,,,,
1,3060654,Fruits et légumes,Fruits frais,Oranges et agrumes,ORANGE A DEGUSTER BIO FILET 1 KG,,3.49,,,,,,,,,,,,
1,2360265,Fruits et légumes,Fruits frais,Oranges et agrumes,Citron primofiori bio filet 1kg,,2.99,,,,,,,,,,,,
