region_name,category,subcategory,subsubcategory,mean price [€],min price [€],max price [€],A,B,C,D,E,nutri-score null percentage
Hauts-de-France,Traiteur,Salade familiales,Taboulé,2.27,0.95,5.02,0.184,0.816,0.0,0.0,0.0,0.05
Hauts-de-France,Traiteur,Snacking,Boissons,1.52,0.23,3.15,0.2,0.0,0.267,0.2,0.333,0.55
Hauts-de-France,Traiteur,Snacking,Box et snacks chauds,3.92,2.32,6.4,0.1,0.517,0.35,0.033,0.0,0.25
Hauts-de-France,Traiteur,Snacking,Desserts,3.07,1.75,4.28,0.077,0.923,0.0,0.0,0.0,0.46
Hauts-de-France,Traiteur,Snacking,Salades,4.04,0.57,6.04,0.297,0.649,0.054,0.0,0.0,0.05
Hauts-de-France,Traiteur,Snacking,Sandwichs,2.56,1.35,3.99,0.121,0.388,0.336,0.155,0.0,0.18
Hauts-de-France,Traiteur,Traiteur de la mer,Crevettes et fruits de mer,4.61,1.31,11.28,0.0,0.706,0.294,0.0,0.0,0.75
Hauts-de-France,Traiteur,Traiteur de la mer,Poissons panés et cuisinés,4.2,2.53,8.08,0.333,0.333,0.333,0.0,0.0,0.56
Hauts-de-France,Traiteur,Traiteur de la mer,Saumons et poissons fumés,5.56,1.05,10.99,0.0,0.042,0.028,0.93,0.0,0.59
Hauts-de-France,Traiteur,Traiteur de la mer,Surimis,3.58,1.53,6.96,0.0,0.711,0.224,0.066,0.0,0.05
Hauts-de-France,Traiteur,Traiteur de la mer,"Tartinables, blinis et œufs de poissons",2.96,1.2,7.99,0.0,0.186,0.209,0.605,0.0,0.39
Hauts-de-France,"Viandes, charcuterie et poissons",Boucherie,Porc,8.26,0.8,27.0,0.0,0.0,0.8,0.2,0.0,0.98
Hauts-de-France,"Viandes, charcuterie et poissons",Boucherie,Saucisses et brochettes,5.97,1.01,13.46,0.0,0.0,0.0,0.0,1.0,0.99
Hauts-de-France,"Viandes, charcuterie et poissons",Boucherie,Veau,9.97,1.8,24.94,0.0,0.0,0.0,1.0,0.0,0.98
Hauts-de-France,"Viandes, charcuterie et poissons",Boucherie,Viandes hachées et farces,6.53,2.39,13.1,0.0,1.0,0.0,0.0,0.0,0.97
Hauts-de-France,"Viandes, charcuterie et poissons",Charcuterie,Charcuteries tranchées,3.64,1.01,9.99,0.0,0.0,0.036,0.562,0.402,0.45
Hauts-de-France,"Viandes, charcuterie et poissons",Charcuterie,Jambons crus,4.39,0.66,7.55,0.0,0.0,0.0,0.8,0.2,0.8
Hauts-de-France,"Viandes, charcuterie et poissons",Charcuterie,Jambons cuits,3.36,0.6,9.96,0.0,0.469,0.375,0.156,0.0,0.28
Hauts-de-France,"Viandes, charcuterie et poissons",Charcuterie,"Lardons, bacons, dés, poitrines",2.61,0.34,9.04,0.0,0.035,0.191,0.617,0.156,0.22
Hauts-de-France,"Viandes, charcuterie et poissons",Charcuterie,Produits tripiers et abats,3.59,2.1,5.99,0.5,0.0,0.0,0.5,0.0,0.86
Hauts-de-France,"Viandes, charcuterie et poissons",Charcuterie,"Pâtés, rillettes, terrines et foie gras",2.83,0.38,19.9,0.0,0.022,0.0,0.478,0.5,0.72
Hauts-de-France,"Viandes, charcuterie et poissons",Charcuterie,"Rôtis, filets et hachés",3.09,1.04,7.08,0.0,0.54,0.2,0.26,0.0,0.25
Hauts-de-France,"Viandes, charcuterie et poissons",Charcuterie,"Saucisses, knacks, boudins et roulades",3.28,0.99,13.95,0.0,0.035,0.017,0.713,0.235,0.42
Hauts-de-France,"Viandes, charcuterie et poissons",Charcuterie,Saucissons secs et chorizos,4.18,0.37,13.05,0.0,0.0,0.0,0.044,0.956,0.57
Hauts-de-France,"Viandes, charcuterie et poissons",Poissonnerie,Poissons marinés et brochettes,4.36,2.21,8.39,0.0,0.0,0.0,1.0,0.0,0.84
Hauts-de-France,"Viandes, charcuterie et poissons","Volaille, gibier, lapin, autres",Autres,9.99,3.05,22.98,0.0,1.0,0.0,0.0,0.0,0.89
Hauts-de-France,"Viandes, charcuterie et poissons","Volaille, gibier, lapin, autres",Canard et caille,9.03,2.65,24.91,0.222,0.222,0.222,0.333,0.0,0.82
